Medication_Name,Package_Size, Manufacturing_Cost , Max_Retailer_Price , Max_Consumer_Price , Max_Consumer_VAT_Price ,Year
AIMOVIG 140 MG PREFILLLED PEN,1, $210.57 , $526.42 , $618.54 , $723.69 ,2021
AJOVY 225MG/1.5ML,1, $226.99 , $567.48 , $624.23 , $730.34 ,2021
AKNE-MYCIN PLUS SOL 25ML,25, $4.28 , $10.70 , $14.66 , $17.15 ,2021
AKNE-MYCIN SOL 25ML,25, $1.41 , $3.54 , $4.84 , $5.67 ,2021
AKYNZEO 1 PACKS,1, $27.29 , $68.23 , $80.17 , $93.80 ,2021
ALBIOMIN  20%  1VIAL/50ML,50, $18.10 , $45.25 , $56.56 , $66.17 ,2021
ALBUNORM 20% 100ML,100, $36.20 , $90.50 , $106.33 , $124.41 ,2021
ALBUNORM 20% 50ML,50, $18.10 , $45.25 , $56.56 , $66.17 ,2021
ALBUNORM 5% VIAL 250ML,250, $16.69 , $41.72 , $52.15 , $61.01 ,2021
ALCON AZOPT 1% 5ML,5, $2.41 , $6.03 , $8.26 , $9.66 ,2021
ALDACTONE 25MG 20T,20, $0.89 , $2.22 , $3.04 , $3.55 ,2021
ALDARA 5% CREAM 12SACH,12, $22.56 , $56.41 , $70.51 , $82.49 ,2021
ALDURAZYME 500U/5ML 1VIAL(5ML),1, $276.17 , $690.42 , $759.46 , $888.57 ,2021
ALECENSA 150MG 240 CAPS,240," $2,385.77 "," $5,964.42 "," $6,560.86 "," $7,676.21 ",2021
ALENDRONATE TEVA 10MG 30TAB,30, $5.90 , $14.76 , $19.85 , $23.22 ,2021
ALENDRONATE TEVA 70MG 4TAB,4, $3.42 , $8.54 , $11.70 , $13.69 ,2021
ALEXAN 2000MG/40ML VIAL,1, $18.79 , $46.98 , $58.72 , $68.70 ,2021
ALFU-KAL XL 10MG 30TAB,30, $6.02 , $15.04 , $20.23 , $23.66 ,2021
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30, $6.02 , $15.04 , $20.23 , $23.66 ,2021
ALIMTA 100MG/VIAL VIAL 10ML,1, $96.11 , $240.29 , $282.33 , $330.33 ,2021
ALIMTA 500MG/VIAL VIAL 50ML,1, $471.26 ," $1,178.14 "," $1,295.95 "," $1,516.27 ",2021
ALKERAN  2MG 25 TABS,25, $26.50 , $66.25 , $77.84 , $91.08 ,2021
ALKERAN INJ 50MG/10ML,1, $45.96 , $114.91 , $135.01 , $157.97 ,2021
ALLORIL 100MG 50TAB,50, $1.05 , $2.64 , $3.61 , $4.22 ,2021
ALLORIL 300MG 30TAB,30, $1.39 , $3.48 , $4.76 , $5.57 ,2021
ALOFISEL 5000000 CELLS/ML 4 VIAL,4," $28,005.18 "," $70,012.96 "," $77,014.25 "," $90,106.67 ",2021
ALPHA D3 0.25MCG 30CAP,30, $1.54 , $3.85 , $5.28 , $6.18 ,2021
ALPHA D3 1MCG 30CAP,30, $3.79 , $9.47 , $12.97 , $15.18 ,2021
ALPRALID 0.25MG 30TAB,30, $0.82 , $2.06 , $2.82 , $3.29 ,2021
ALPRALID 0.50MG 30TAB,30, $1.20 , $3.01 , $4.12 , $4.82 ,2021
ALPRALID 1MG 30TAB,30, $1.82 , $4.56 , $6.25 , $7.31 ,2021
ALUNBRIG 30 MG 30 FILM COATED TABLETS,30, $542.67 ," $1,356.67 "," $1,492.34 "," $1,746.04 ",2021
ALUNBRIG 30 MG 30 FILM COATED TABLETS,30, $542.67 ," $1,356.67 "," $1,492.34 "," $1,746.04 ",2021
ALUNBRIG 90 MG 30 FILM COATED TABLETS,30," $1,612.77 "," $4,031.93 "," $4,435.12 "," $5,189.09 ",2021
ALUNBRIG 90 MG 30 FILM COATED TABLETS,30," $1,612.77 "," $4,031.93 "," $4,435.12 "," $5,189.09 ",2021
AMANDIN 100 MG 100 TAB,100, $4.79 , $11.98 , $16.12 , $18.86 ,2021
AMARYL 1MG 30TAB,30, $0.98 , $2.46 , $3.37 , $3.95 ,2021
AMARYL 2MG 30TAB,30, $1.22 , $3.05 , $4.17 , $4.88 ,2021
AMARYL 3MG 30TAB,30, $2.00 , $4.99 , $6.84 , $8.00 ,2021
AMARYL 4MG 30TAB,30, $2.12 , $5.31 , $7.27 , $8.51 ,2021
AMBISOME 50MG/VIAL 10VIALS,10, $498.46 ," $1,246.15 "," $1,370.77 "," $1,603.80 ",2021
AMELUZ 78MG/G GEL 2G,2, $82.56 , $206.41 , $242.53 , $283.76 ,2021
AMIKACIN - MEDO 500mg/2ml 10 amp,10, $11.72 , $29.30 , $36.63 , $42.85 ,2021
AMIKAN 500MG/2ML 1X2ML,1, $1.79 , $4.46 , $6.11 , $7.15 ,2021
AMINOPHYLLINE S.A.L.F 240 MG/10 ML 5 AMP,5, $1.70 , $4.24 , $5.81 , $6.80 ,2021
AMIODACORE 200MG 30TAB,30, $2.15 , $5.38 , $7.38 , $8.63 ,2021
AMIODACORE INJECTION 150MG/3ML 6 AMP,6, $2.02 , $5.04 , $6.91 , $8.08 ,2021
"AMLODIPINE TEVA 10 MG 	30 TABLETS",30, $1.50 , $3.75 , $5.14 , $6.01 ,2021
AMLODIPINE TEVA 10MG 20TAB,20, $1.18 , $2.95 , $4.03 , $4.72 ,2021
AMLODIPINE TEVA 5 MG 30 TABLETS,30, $1.11 , $2.79 , $3.82 , $4.47 ,2021
AMLODIPINE TEVA 5MG 20TAB,20, $0.74 , $1.86 , $2.54 , $2.98 ,2021
AMLOW 10 MG 30 TAB,30, $1.50 , $3.75 , $5.14 , $6.01 ,2021
AMLOW 5 MG 30 TAB,30, $1.11 , $2.79 , $3.82 , $4.47 ,2021
AMOXICLAV TEVA 875MG 14TAB,14, $3.01 , $7.53 , $10.32 , $12.08 ,2021
AMPISULVENIR  1.5G  10VIAL  20ML,10, $26.96 , $67.39 , $79.18 , $92.64 ,2021
AMPISULVENIR 3G 10VIAL 20ML,10, $32.63 , $81.58 , $95.86 , $112.15 ,2021
ANAFRANIL 25MG 30TAB,30, $1.18 , $2.96 , $4.05 , $4.74 ,2021
ANAFRANIL SR 75MG 20TAB,20, $2.07 , $5.18 , $7.10 , $8.31 ,2021
ANAGRID 0.5MG 60CAPS,60, $123.17 , $307.92 , $361.80 , $423.31 ,2021
ANASTROZOLE 1MG 30TAB,30, $15.07 , $37.67 , $47.09 , $55.09 ,2021
ANASTROZOLE INOVAMED 1MG 30TAB,30, $15.07 , $37.67 , $47.09 , $55.09 ,2021
ANDROCUR 10MG 15TAB,15, $2.75 , $6.87 , $9.41 , $11.01 ,2021
ANDROCUR 50MG 50TAB,50, $10.78 , $26.95 , $36.25 , $42.42 ,2021
ANDROGEL 50MG 30SACHX5G,30, $21.49 , $53.74 , $67.17 , $78.59 ,2021
ANGELIQ 1X28TAB,28, $5.80 , $14.51 , $19.51 , $22.83 ,2021
ANIDULAFUNGIN TEVA 100 MG 1 VIAL,1, $110.94 , $277.35 , $325.89 , $381.29 ,2021
ANORO ELLIPTA 55/22 MCG 30 DOSES,30, $17.88 , $44.70 , $55.87 , $65.37 ,2021
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15, $15.37 , $38.43 , $48.04 , $56.21 ,2021
APIDRA VIAL 1X10ML,10, $8.34 , $20.85 , $28.04 , $32.81 ,2021
APO GO PEN 10MG/ML 5X3ML,5, $56.78 , $141.96 , $166.80 , $195.15 ,2021
APO-GO 10MG/ML 5AMPX2ML,5, $23.30 , $58.26 , $72.82 , $85.20 ,2021
AQUIMOD CREAM 5 % 12SACHET (0.25G),12, $22.56 , $56.41 , $70.51 , $82.49 ,2021
ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4, $287.33 , $718.32 , $790.15 , $924.47 ,2021
ARANESP 100MCG PREFILLED PEN 1X0.5ML,1, $71.13 , $177.82 , $208.94 , $244.46 ,2021
ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4, $441.01 ," $1,102.53 "," $1,212.79 "," $1,418.96 ",2021
ARANESP 150MCG PREFILLED PEN 1X0.3ML,1, $109.00 , $272.51 , $320.20 , $374.63 ,2021
ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4, $56.89 , $142.24 , $167.13 , $195.54 ,2021
ARANESP 300MCG PREFILLED PEN 1X0.6ML,1, $218.01 , $545.02 , $599.52 , $701.44 ,2021
ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4, $85.36 , $213.39 , $250.74 , $293.36 ,2021
ARANESP 40MCG 4 PREFILLED SYR 0.4ML,4, $113.82 , $284.54 , $334.33 , $391.17 ,2021
ARANESP 40MCG PREFILLED PEN 1X0.4ML,1, $28.45 , $71.13 , $83.58 , $97.79 ,2021
ARANESP 500MCG PREFILLED PEN 1X1ML,1, $362.29 , $905.72 , $996.30 ," $1,165.67 ",2021
ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4, $142.26 , $355.65 , $417.89 , $488.93 ,2021
ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4, $170.71 , $426.78 , $501.46 , $586.71 ,2021
ARANESP 60MCG PREFILLED PEN 1X0.3ML,1, $42.68 , $106.70 , $125.37 , $146.68 ,2021
ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4, $227.62 , $569.04 , $625.95 , $732.36 ,2021
ARAVA 10MG 30TAB,30, $10.45 , $26.14 , $35.15 , $41.13 ,2021
ARAVA 20MG 30TAB,30, $14.02 , $35.05 , $43.81 , $51.26 ,2021
ARCO-TEVA 120 MG 7 TABS,7, $2.79 , $6.97 , $9.55 , $11.17 ,2021
ARCO-TEVA 30MG 28TABS,28, $3.88 , $9.71 , $13.30 , $15.56 ,2021
ARCO-TEVA 60MG 14TABS,14, $2.51 , $6.27 , $8.60 , $10.06 ,2021
ARCO-TEVA 90MG 14TABS,14, $3.46 , $8.66 , $11.87 , $13.88 ,2021
ARCOXIA 120MG 7TAB,7, $2.79 , $6.97 , $9.55 , $11.17 ,2021
ARCOXIA 30MG 28TAB,28, $3.88 , $9.71 , $13.30 , $15.56 ,2021
ARCOXIA 60 MG  14 TABLETS,14, $2.51 , $6.27 , $8.60 , $10.06 ,2021
ARCOXIA 90 MG 14TAB,14, $3.46 , $8.66 , $11.87 , $13.88 ,2021
ARIMIDEX 1MG 28TAB,28, $14.06 , $35.16 , $43.95 , $51.42 ,2021
ARIPIPRAZOLE SANDOZ 10 MG 10 TAB,30, $23.34 , $58.36 , $72.95 , $85.35 ,2021
ARIPIPRAZOLE SANDOZ 15 MG 10 TAB,30, $24.38 , $60.94 , $71.60 , $83.77 ,2021
ARIPIPRAZOLE SANDOZ 30 MG 10 TAB,30, $36.87 , $92.16 , $108.29 , $126.70 ,2021
ARIPIPRAZOLE SANDOZ 5 MG 10 TAB,30, $22.14 , $55.34 , $69.18 , $80.94 ,2021
ARIPLY 10MG 28TAB,28, $21.79 , $54.47 , $68.09 , $79.66 ,2021
ARIPLY 15MG 28TAB,28, $22.75 , $56.88 , $71.09 , $83.18 ,2021
ARIPLY 30MG 28TAB,28, $34.41 , $86.02 , $101.07 , $118.25 ,2021
ARIPLY 5MG 28TAB,28, $20.66 , $51.65 , $64.57 , $75.55 ,2021
ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR,10, $20.47 , $51.16 , $63.95 , $74.83 ,2021
ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE,10, $59.17 , $147.91 , $173.80 , $203.34 ,2021
ARMONIA 0.5MG 30 CAPS,30, $10.46 , $26.16 , $35.19 , $41.17 ,2021
AROMASIN 25MG 30TAB,30, $26.93 , $67.33 , $79.11 , $92.56 ,2021
ASACOL 400MG 100TAB,100, $14.70 , $36.76 , $45.95 , $53.76 ,2021
ASACOL 800MG 60TAB,60, $15.82 , $39.56 , $49.45 , $57.85 ,2021
ASENTA 10MG 28TAB,28, $10.68 , $26.70 , $35.91 , $42.02 ,2021
ASENTA 5MG 28TAB,28, $9.43 , $23.57 , $31.70 , $37.09 ,2021
ASSIVAL 10MG 30TAB,30, $1.23 , $3.07 , $4.20 , $4.92 ,2021
ASSIVAL 2MG 30TAB,30, $0.72 , $1.81 , $2.48 , $2.90 ,2021
ASSIVAL 5MG 30TAB,30, $1.15 , $2.88 , $3.95 , $4.62 ,2021
ASSIVAL TEVA 10 MG/2 ML 10 AMP,10, $2.47 , $6.18 , $8.47 , $9.91 ,2021
ATACAND 16MG 28TAB,28, $2.57 , $6.43 , $8.81 , $10.31 ,2021
ATACAND 8MG 28TAB,28, $1.84 , $4.61 , $6.31 , $7.38 ,2021
ATACAND PLUS 28TAB,28, $2.71 , $6.78 , $9.28 , $10.86 ,2021
ATOMIC 25mg 28 tab,28, $33.33 , $83.32 , $97.90 , $114.55 ,2021
ATOMIC 40mg 28 tab,28, $34.06 , $85.16 , $100.07 , $117.08 ,2021
ATOMIC 60MG 28 TAB,28, $34.06 , $85.15 , $100.05 , $117.05 ,2021
ATORVASTATIN TEVA 80MG 30TAB,30, $5.14 , $12.86 , $17.30 , $20.24 ,2021
ATOSIBAN 7.5MG/ML 0.9ML(6.75MG),1, $8.51 , $21.27 , $28.61 , $33.47 ,2021
ATOSIBAN 7.5MG/ML 5ML (37.5MG),5, $32.42 , $81.06 , $95.25 , $111.44 ,2021
ATOZET 10 MG/10 MG 30 TAB,30, $17.93 , $44.83 , $56.04 , $65.57 ,2021
ATOZET10 MG/20 MG 30 TAB,30, $16.28 , $40.71 , $50.89 , $59.54 ,2021
ATOZET10 MG/40 MG 30TAB,30, $17.31 , $43.28 , $54.11 , $63.30 ,2021
ATOZET10 MG/80 MG 30 TAB,30, $18.64 , $46.60 , $58.25 , $68.16 ,2021
ATRIANCE 5MG/ML INJ 6X50ML VIALS,6, $762.23 ," $1,905.57 "," $2,096.13 "," $2,452.47 ",2021
ATRIPLA 30TAB,30, $138.49 , $346.23 , $406.82 , $475.98 ,2021
ATROPINE SULPHATE S.A.L.F. 1 MG/ML 5 amp,5, $2.59 , $6.48 , $8.88 , $10.39 ,2021
ATROSPAN DRPS 1%10CC,10, $2.98 , $7.45 , $10.21 , $11.94 ,2021
ATROVENT INHALER 20MCG 200DOSES,200, $1.88 , $4.70 , $6.44 , $7.54 ,2021
ATZIRUT X  5MG 30TAB,30, $2.29 , $5.73 , $7.85 , $9.18 ,2021
AUBAGIO 14MG 28TAB,28, $383.81 , $959.53 ," $1,055.48 "," $1,234.91 ",2021
AUGMENTIN 1.2G 10VIALS,10, $11.80 , $29.51 , $36.89 , $43.16 ,2021
AUGMENTIN 250MG 100ML,100, $1.61 , $4.02 , $5.51 , $6.45 ,2021
AUGMENTIN 250MG 20TAB,20, $2.10 , $5.24 , $7.18 , $8.40 ,2021
AUGMENTIN 400MG SUSP 35ML,35, $1.10 , $2.76 , $3.78 , $4.42 ,2021
AUGMENTIN 400MG SUSP 70ML,70, $1.91 , $4.78 , $6.55 , $7.66 ,2021
AUGMENTIN 500MG 20TAB,20, $2.54 , $6.36 , $8.71 , $10.19 ,2021
"AUGMENTIN B.I.D ""875""MG 14TAB",14, $3.01 , $7.53 , $10.32 , $12.08 ,2021
AVAMYS 27.5MCG/DOSE 120DOSES,120, $3.00 , $7.49 , $10.26 , $12.00 ,2021
AVASTIN 100MG 25MG/ML VIAL 4ML,1, $121.75 , $304.37 , $357.63 , $418.43 ,2021
AVASTIN 400MG 25MG/ML VIAL 16ML,1, $475.70 ," $1,189.26 "," $1,308.19 "," $1,530.58 ",2021
AVODART 0.5MG 30CAPS,30, $10.46 , $26.16 , $35.19 , $41.17 ,2021
AVONEX SOLUTION FOR INJECTION 30MCG/0.5ML 4PEN,4, $301.01 , $752.53 , $827.78 , $968.50 ,2021
AZACITIDINE TEVA 100 MG\VIAL,1, $160.08 , $400.21 , $470.25 , $550.19 ,2021
AZADINE 100 MG/VIAL,1, $160.08 , $400.21 , $470.25 , $550.19 ,2021
AZARGA 5ML,5, $4.69 , $11.74 , $16.08 , $18.81 ,2021
AZENIL 200MG 15ML,15, $1.84 , $4.60 , $6.31 , $7.38 ,2021
AZENIL 200MG 22.5ML,22.5, $2.76 , $6.91 , $9.46 , $11.07 ,2021
AZENIL 250MG 6CAPSULES,6, $2.23 , $5.57 , $7.64 , $8.93 ,2021
AZILECT 1MG 30TAB,30, $26.34 , $65.86 , $77.38 , $90.54 ,2021
AZITHROMYCIN INOVAMED 250 MG 6 CAPS,6, $2.57 , $6.42 , $8.80 , $10.29 ,2021
AZITHROMYCIN TEVA 200MG/5ML 15ML,15, $1.84 , $4.60 , $6.31 , $7.38 ,2021
AZITHROMYCIN TEVA 200MG/5ML 22.5ML,22.5, $2.76 , $6.91 , $9.46 , $11.07 ,2021
AZITHROVENIR  500MG/VIAL  5ML,1, $4.43 , $11.07 , $15.17 , $17.75 ,2021
BACLOFEN SINTETICA 2 MG/ ML 10 VIALS 5ML,10, $281.36 , $703.41 , $773.75 , $905.29 ,2021
BACLOFENE BIOINDUSTRIA L.I.M 10 MG/5 ML 5 AMP,5, $140.68 , $351.71 , $413.25 , $483.51 ,2021
BACLOSAL 10MG 50TAB,50, $1.93 , $4.83 , $6.61 , $7.74 ,2021
BACLOSAL 25MG 50TAB,50, $3.29 , $8.22 , $11.26 , $13.17 ,2021
BACTROBAN 15GR OINT,15, $2.28 , $5.70 , $7.81 , $9.14 ,2021
BACTROBAN NASAL 3GR,3, $2.16 , $5.41 , $7.41 , $8.67 ,2021
BASAGLAR 100 U/ML 5X3ML KWIK PEN,15, $22.42 , $56.05 , $70.07 , $81.98 ,2021
BAVENCIO 20MG/ML SOL FOR INJ 1 VIAL 10 ML,1, $423.90 ," $1,059.74 "," $1,165.72 "," $1,363.89 ",2021
BEDODEKA 1MG/ML 100AMPX1ML,100, $30.73 , $76.83 , $90.28 , $105.62 ,2021
BEKUNIS 45 DRAGEES,45, $4.38 , $10.96 , $15.01 , $17.57 ,2021
BELARA 1X21TAB,21, $2.96 , $7.41 , $10.15 , $11.88 ,2021
BELARA 3X21TAB,63, $8.89 , $22.23 , $29.89 , $34.98 ,2021
BEMFOLA 600 IU/ML 1 PREFILLED PEN 0.125 ML(75IU),1, $12.93 , $32.33 , $40.41 , $47.28 ,2021
BEMFOLA 600 IU/ML 1 PREFILLED PEN 0.25 ML(150IU),1, $23.70 , $59.24 , $74.05 , $86.64 ,2021
BEMFOLA 600 IU/ML 1 PREFILLED PEN 0.375 ML(225IU),1, $36.21 , $90.53 , $106.38 , $124.46 ,2021
BEMFOLA 600 IU/ML 1 PREFILLED PEN 0.75 ML(450IU),1, $72.47 , $181.17 , $212.87 , $249.06 ,2021
BEMFOLA 600IU/ML 1 PREFILLED PEN 0.5ML(300IU),1, $48.79 , $121.97 , $143.31 , $167.67 ,2021
BENDAMUSTINE MEDAC 100 MG 1 VIAL,1, $47.50 , $118.75 , $139.53 , $163.25 ,2021
BENDAMUSTINE MEDAC 25 MG 1 VIAL,1, $11.61 , $29.03 , $39.05 , $45.69 ,2021
BENDAMUSTINE S.K. 100 MG 1 VIAL,1, $47.50 , $118.75 , $139.53 , $163.25 ,2021
BENDAMUSTINE S.K. 25 MG 1 VIAL,1, $58.06 , $145.16 , $170.57 , $199.56 ,2021
BENEFIX 1000IU/VIAL I.V 1 VIAL,1, $238.55 , $596.38 , $656.02 , $767.55 ,2021
BENEFIX 2000IU/VIAL I.V 1 VIAL,1, $475.55 ," $1,188.88 "," $1,307.76 "," $1,530.08 ",2021
BENEFIX 500 IU/VIAL I.V 1 VIAL,1, $133.93 , $334.83 , $393.43 , $460.31 ,2021
BENLYSTA 1X120MG POWD FOR CONCENTRATE FOR INF VIAL 5ML,1, $65.92 , $164.79 , $193.63 , $226.55 ,2021
